Lon,Lat
143.93,-10.435
143.59,-10.442
143.92,-10.454
143.67,-10.464
143.93,-10.467
143.91,-10.476
143.91,-10.484
143.67,-10.486
143.92,-10.495
143.73,-10.496
144.11,-9.9992
144.08,-10.025
144.06,-10.059
144.03,-10.08
144.03,-10.1
144.02,-10.111
144.01,-10.128
144,-10.144
144,-10.154
144.46,-10.27
144.69,-10.006
144.66,-10.112
142.17,-10.514
142.29,-10.514
142.3,-10.532
142.18,-10.543
142.21,-10.552
142.34,-10.553
142.16,-10.564
142.17,-10.576
142.21,-10.581
142.28,-10.604
142.14,-10.615
142.28,-10.692
142.38,-10.704
142.14,-10.711
142.35,-10.71
142.44,-10.71
142.37,-10.715
142.29,-10.724
142.41,-10.731
142.39,-10.737
142.42,-10.741
142.25,-10.741
142.41,-10.746
142.22,-10.746
142.39,-10.761
142.37,-10.766
142.21,-10.767
142.39,-10.77
142.4,-10.774
142.32,-10.84
142.35,-10.845
142.02,-10.851
142.03,-10.884
142.34,-10.888
142.62,-10.598
142.61,-10.611
142.62,-10.614
142.52,-10.614
142.56,-10.723
142.58,-10.729
142.61,-10.759
142.59,-10.783
142.58,-10.801
142.55,-10.836
143.42,-10.502
143.1,-10.527
143.36,-10.543
143.26,-10.565
143.46,-10.565
143.42,-10.568
143.49,-10.597
143.09,-10.599
143.3,-10.613
143.47,-10.626
143.44,-10.627
143.89,-10.507
143.92,-10.518
143.92,-10.545
143.52,-10.546
143.7,-10.546
143.92,-10.556
143.92,-10.575
143.93,-10.589
143.91,-10.598
143.93,-10.602
143.92,-10.616
143.9,-10.619
143.94,-10.621
143.95,-10.651
143.96,-10.667
143.95,-10.68
142.99,-11.006
142.79,-11.072
142.81,-11.251
142.87,-11.258
142.93,-11.252
142.87,-11.373
142.96,-11.388
142.84,-11.427
143.25,-11.027
143.69,-11.622
143.67,-11.675
143.09,-11.073
143.03,-11.117
143.26,-11.133
143.1,-11.174
143.03,-11.183
143.21,-11.194
143.36,-11.231
143,-11.244
143.26,-11.242
143.15,-11.271
143.2,-11.3
143.13,-11.343
143.33,-11.322
143.33,-11.361
143.16,-11.378
143.07,-11.391
143.03,-11.387
143.16,-11.435
143.04,-11.456
143.3,-11.481
143.12,-11.469
143.16,-11.473
143.07,-11.483
143.04,-11.489
143.03,-11.5
143.81,-11.323
143.99,-11.285
144,-11.284
144,-11.295
143.98,-11.298
143.98,-11.309
143.96,-11.324
143.98,-11.329
143.95,-11.348
143.95,-11.358
143.97,-11.364
143.95,-11.365
143.96,-11.367
143.95,-11.373
143.96,-11.384
143.96,-11.394
143.96,-11.404
143.79,-11.394
143.78,-11.407
143.97,-11.413
143.97,-11.416
143.97,-11.422
143.97,-11.429
143.78,-11.426
143.77,-11.458
143.97,-11.465
143.62,-11.47
143.94,-11.485
144.02,-11.48
143.9,-11.48
143.92,-11.496
143.86,-11.494
144,-11.031
144.02,-11.039
144.02,-11.051
144.04,-11.054
144.04,-11.07
144.04,-11.104
144.04,-11.133
144.06,-11.149
144.06,-11.187
144.05,-11.196
144.05,-11.202
144.05,-11.21
144.05,-11.22
144.07,-11.256
144.02,-11.272
144.02,-11.279
144.03,-11.283
144.04,-11.282
144.04,-11.425
144.07,-11.493
142.87,-11.513
142.85,-11.564
142.9,-11.592
142.86,-11.628
142.94,-11.599
142.91,-11.652
142.99,-11.734
142.97,-11.762
142.9,-11.77
142.91,-11.772
142.93,-11.773
142.95,-11.77
142.88,-11.782
142.86,-11.801
142.94,-11.807
142.9,-11.81
142.89,-11.828
142.88,-11.845
142.94,-11.845
142.99,-11.864
142.91,-11.867
142.97,-11.886
143.08,-11.518
143.18,-11.534
143.02,-11.552
143.23,-11.581
143.18,-11.59
143.4,-11.587
143.01,-11.595
143.29,-11.605
143.33,-11.642
143.19,-11.712
143.25,-11.734
NaN,NaN
143.08,-11.793
143.26,-11.805
143.36,-11.845
143.29,-11.869
143.29,-11.875
143.11,-11.893
143.13,-11.905
143.44,-11.932
143.27,-11.954
143.27,-11.964
143.27,-11.972
143.29,-11.971
143.25,-11.973
143.23,-11.969
143.27,-11.986
143.25,-11.992
143.24,-12
143.96,-11.514
143.87,-11.515
143.66,-11.52
143.87,-11.533
143.88,-11.528
143.86,-11.542
143.86,-11.551
143.91,-11.533
143.97,-11.523
143.9,-11.543
143.86,-11.561
143.88,-11.557
143.87,-11.572
143.72,-11.568
143.85,-11.594
143.51,-11.584
143.88,-11.631
143.66,-11.77
143.89,-11.77
143.87,-11.783
143.87,-11.792
143.86,-11.802
143.87,-11.808
143.97,-11.802
143.85,-11.832
143.82,-11.856
143.83,-11.861
143.83,-11.873
143.64,-11.887
143.68,-11.89
143.83,-11.884
143.83,-11.899
143.69,-11.927
143.85,-11.927
143.87,-11.954
143.98,-11.949
143.88,-11.982
144.04,-11.596
144.04,-11.758
142.84,-11.485
143.3,-12.032
143.46,-12.113
143.26,-12.099
143.22,-12.126
143.27,-12.141
143.38,-12.147
143.11,-12.19
143.13,-12.235
143.28,-12.232
143.2,-12.245
143.24,-12.252
143.27,-12.247
