Centroid LON,Centroid LAT
142.5924,-10.7796
142.7105,-10.7967
142.5736,-10.8241999999999
142.576699999999,-10.8355
142.687099999999,-10.8199
142.723099999999,-10.8213
142.7605,-10.82
142.9288,-10.8079
142.983399999999,-10.7996
142.6935,-10.887
142.6962,-10.8896999999999
142.772699999999,-10.9013
142.6314,-10.9207
143.0894,-10.7753999999999
142.597,-10.7043
142.5979,-10.7089
142.5928,-10.7163
142.6173,-10.7286
142.6226,-10.746
142.6053,-10.739
142.6245,-10.7238
142.629899999999,-10.7189
142.6732,-10.7007999999999
142.6853,-10.7118
142.6909,-10.7157
142.7382,-10.68
142.7862,-10.6824999999999
142.7311,-10.7022999999999
142.614399999999,-10.7576
142.6252,-10.7707
143.8008,-10.8032
144.0061,-10.8055
143.9974,-10.8231
143.8238,-10.8252
143.7581,-10.8462
144.014199999999,-10.8446
143.9838,-10.8661999999999
142.7059,-10.9369
142.706099999999,-10.9476
142.7664,-10.99
143.2521,-10.6837
143.433699999999,-10.6971
143.466299999999,-10.6967
143.19,-10.7317
143.3365,-10.7348
143.0936,-10.7518999999999
143.3718,-10.7523
143.324,-10.7566
143.4121,-10.7761999999999
143.3535,-10.8058999999999
143.3355,-10.8375
143.458599999999,-10.9398
143.2983,-10.8391
143.4042,-10.8493999999999
143.239,-10.853
143.2401,-10.8950999999999
143.2098,-10.8975
143.177799999999,-10.9064999999999
143.289899999999,-10.9039
143.3826,-10.9053
143.3135,-10.9148999999999
143.2961,-10.9316999999999
143.2183,-10.9323999999999
143.2424,-10.9468999999999
143.1569,-10.9502
143.1301,-10.952
143.3596,-10.9392
143.3994,-10.9636
143.4254,-10.9678
143.1253,-10.9865999999999
143.5107,-10.9057
143.9618,-10.6877
143.787399999999,-10.7032
143.9634,-10.7094
143.958499999999,-10.7249
143.9797,-10.723
143.520999999999,-10.6931999999999
143.9649,-10.7341
143.9737,-10.7401
143.980099999999,-10.7545
143.609399999999,-10.7448
143.7427,-10.7375
143.505699999999,-10.7697
143.690699999999,-10.7894
143.716199999999,-10.7704
143.843799999999,-10.7667
143.975599999999,-10.7782
143.9838,-10.7861999999999
143.988699999999,-10.7943
144.0154,-10.9506
143.5107,-10.9449
143.9984,-10.8359
144.0089,-10.8301
142.5773,-10.7299
142.5796,-10.7986
142.553,-10.8318999999999
142.6044,-10.7574
143.3795,-10.8401999999999
