ID,a,b,params
144,0.0024,-0.0547,_d73_1111
145,0.0803,-0.0885,_d73_1111_P5
146,0.004,-0.0721,_d73_1111_P7
147,0.0167,-0.1012,_d73_1112
148,0.0806,-0.088,_d73_1112_P5
149,0.004,-0.0721,_d73_1112_P7
150,0.0167,-0.1012,_d73_1121
151,0.0308,-0.0452,_d73_1121_P5
152,2.86E-04,-0.0409,_d73_1121_P7
153,0.0015,-0.0524,_d73_1122
154,0.0309,-0.0445,_d73_1122_P5
155,2.86E-04,-0.0408,_d73_1122_P7
156,0.0015,-0.0524,_d73_2111
157,0.0928,-0.0853,_d73_2111_P5
158,0.0058,-0.0607,_d73_2111_P7
159,0.0221,-0.0882,_d73_2112
160,0.0929,-0.0853,_d73_2112_P5
161,0.0058,-0.0607,_d73_2112_P7
162,0.0221,-0.0882,_d73_2121
163,0.0321,-0.0393,_d73_2121_P5
164,3.73E-04,-0.0293,_d73_2121_P7
165,0.0019,-0.0426,_d73_2122
166,0.0322,-0.0392,_d73_2122_P5
167,3.73E-04,-0.0293,_d73_2122_P7
168,0.0019,-0.0426,_d74_1111
169,0.0789,-0.0977,_d74_1111_P5
170,0.0034,-0.0697,_d74_1111_P7
171,0.0177,-0.1133,_d74_1112
172,0.0795,-0.0975,_d74_1112_P5
173,0.0034,-0.0697,_d74_1112_P7
174,0.0177,-0.1133,_d74_1121
175,0.0244,-0.0439,_d74_1121_P5
176,2.51E-04,-4.8431,_d74_1121_P7
177,0.0014,-0.0597,_d74_1122
178,0.0245,-0.0427,_d74_1122_P5
179,2.51E-04,-4.8431,_d74_1122_P7
180,0.0014,-0.0597,_d74_2111
181,0.1029,-0.0979,_d74_2111_P5
182,0.0057,-0.0642,_d74_2111_P7
183,0.0249,-0.1006,_d74_2112
184,0.1031,-0.098,_d74_2112_P5
185,0.0057,-0.0642,_d74_2112_P7
186,0.0249,-0.1006,_d74_2121
187,0.0303,-0.0428,_d74_2121_P5
188,4.61E-04,-4.9696,_d74_2121_P7
189,0.0019,-0.0477,_d74_2122
190,0.0305,-0.0428,_d74_2122_P5
191,4.61E-04,-4.9696,_d74_2122_P7
192,0.0019,-0.0477,_d75_1111
193,0.0759,-0.0826,_d75_1111_P5
194,0.0036,-0.0625,_d75_1111_P7
195,0.0158,-0.0947,_d75_1112
196,0.0764,-0.0822,_d75_1112_P5
197,0.0036,-0.0625,_d75_1112_P7
198,0.0158,-0.0947,_d75_1121
199,0.0327,-0.0468,_d75_1121_P5
