ID,a,b,params
628,0.0613,-0.073,_d93_1112_P5
629,0.0026,-0.0497,_d93_1112_P7
630,0.0131,-0.0863,_d93_1121
631,0.0228,-0.036,_d93_1121_P5
632,1.71E-04,-0.0245,_d93_1121_P7
633,0.0012,-0.0439,_d93_1122
634,0.0231,-0.0352,_d93_1122_P5
635,1.70E-04,-0.0244,_d93_1122_P7
636,0.0012,-0.0439,_d93_2111
637,0.0708,-0.0697,_d93_2111_P5
638,0.0038,-0.042,_d93_2111_P7
639,0.017,-0.0724,_d93_2112
640,0.0711,-0.0699,_d93_2112_P5
641,0.0038,-0.042,_d93_2112_P7
642,0.017,-0.0724,_d93_2121
643,0.0235,-0.0306,_d93_2121_P5
644,4.15E-04,-4.9664,_d93_2121_P7
645,0.0014,-0.0339,_d93_2122
646,0.0237,-0.0307,_d93_2122_P5
647,4.15E-04,-4.9664,_d93_2122_P7
648,0.0014,-0.0339,_d94_1111
649,0.0799,-0.086,_d94_1111_P5
650,0.0036,-0.066,_d94_1111_P7
651,0.0169,-0.1005,_d94_1112
652,0.0806,-0.0854,_d94_1112_P5
653,0.0036,-0.066,_d94_1112_P7
654,0.0169,-0.1005,_d94_1121
655,0.0308,-0.0441,_d94_1121_P5
656,2.54E-04,-0.0366,_d94_1121_P7
657,0.0016,-0.0548,_d94_1122
658,0.031,-0.0431,_d94_1122_P5
659,2.54E-04,-0.0366,_d94_1122_P7
660,0.0016,-0.0547,_d94_2111
661,0.0961,-0.0847,_d94_2111_P5
662,0.0056,-0.058,_d94_2111_P7
663,0.0228,-0.0879,_d94_2112
664,0.0963,-0.0847,_d94_2112_P5
665,0.0056,-0.058,_d94_2112_P7
666,0.0228,-0.0879,_d94_2121
667,0.0361,-0.043,_d94_2121_P5
668,3.91E-04,-0.0307,_d94_2121_P7
669,0.0021,-0.0466,_d94_2122
670,0.0362,-0.0429,_d94_2122_P5
671,3.91E-04,-0.0306,_d94_2122_P7
672,0.0021,-0.0466,_d95_1111
673,0.0637,-0.0775,_d95_1111_P5
674,0.003,-0.0564,_d95_1111_P7
675,0.0143,-0.0925,_d95_1112
676,0.0639,-0.0772,_d95_1112_P5
677,0.003,-0.0564,_d95_1112_P7
678,0.0143,-0.0925,_d95_1121
679,0.0186,-0.0293,_d95_1121_P5
680,2.55E-04,-4.6162,_d95_1121_P7
681,0.001,-0.0385,_d95_1122
682,0.0186,-0.0287,_d95_1122_P5
683,2.55E-04,-4.6127,_d95_1122_P7
684,0.001,-0.0385,_d95_2111
685,0.08,-0.0779,_d95_2111_P5
686,0.0046,-0.0496,_d95_2111_P7
687,0.0192,-0.0806,_d95_2112
688,0.08,-0.0779,_d95_2112_P5
689,0.0046,-0.0496,_d95_2112_P7
690,0.0192,-0.0806,_d95_2121
691,0.0217,-0.0279,_d95_2121_P5
692,2.40E-04,-0.0185,_d95_2121_P7
693,0.0013,-0.0316,_d95_2122
694,0.0217,-0.0277,_d95_2122_P5
695,2.40E-04,-0.0185,_d95_2122_P7
696,0.0013,-0.0316,_d96_1111
697,0.0455,-0.0594,_d96_1111_P5
698,0.0021,-0.0405,_d96_1111_P7
699,0.0106,-0.0761,_d96_1112
700,0.0462,-0.0593,_d96_1112_P5
701,0.0021,-0.0405,_d96_1112_P7
702,0.0106,-0.0761,_d96_1121
703,0.0127,-0.0195,_d96_1121_P5
704,2.11E-04,-4.7813,_d96_1121_P7
705,7.02E-04,-0.0276,_d96_1122
706,0.0129,-0.0191,_d96_1122_P5
707,2.11E-04,-4.78,_d96_1122_P7
708,7.03E-04,-0.0276,_d96_2111
709,0.0578,-0.0603,_d96_2111_P5
710,0.0032,-0.037,_d96_2111_P7
711,0.0142,-0.0643,_d96_2112
712,0.0579,-0.0603,_d96_2112_P5
713,0.0032,-0.037,_d96_2112_P7
714,0.0142,-0.0643,_d96_2121
715,0.0154,-0.0199,_d96_2121_P5
716,3.35E-04,-4.9579,_d96_2121_P7
717,9.65E-04,-0.0237,_d96_2122
718,0.0154,-0.0198,_d96_2122_P5
719,3.35E-04,-4.9578,_d96_2122_P7
720,9.65E-04,-0.0237,_d97_1111
721,0.0797,-0.0879,_d97_1111_P5
722,0.0036,-0.0669,_d97_1111_P7
723,0.0169,-0.1025,_d97_1112
724,0.0803,-0.0872,_d97_1112_P5
725,0.0036,-0.0669,_d97_1112_P7
726,0.0169,-0.1025,_d97_1121
727,0.0347,-0.0511,_d97_1121_P5
728,2.97E-04,-0.0422,_d97_1121_P7
729,0.0017,-0.0582,_d97_1122
730,0.035,-0.0505,_d97_1122_P5
731,2.97E-04,-0.0422,_d97_1122_P7
732,0.0017,-0.0582,_d97_2111
733,0.0934,-0.085,_d97_2111_P5
734,0.0054,-0.0569,_d97_2111_P7
735,0.0223,-0.088,_d97_2112
736,0.0935,-0.085,_d97_2112_P5
737,0.0054,-0.0569,_d97_2112_P7
738,0.0223,-0.088,_d97_2121
739,0.0364,-0.0451,_d97_2121_P5
740,4.19E-04,-0.0334,_d97_2121_P7
741,0.0021,-0.048,_d97_2122
742,0.0364,-0.045,_d97_2122_P5
743,4.19E-04,-0.0334,_d97_2122_P7
744,0.0021,-0.048,_d98_1111
745,0.0611,-0.0713,_d98_1111_P5
746,0.003,-0.0546,_d98_1111_P7
747,0.0134,-0.0861,_d98_1112
748,0.0614,-0.0708,_d98_1112_P5
749,0.003,-0.0546,_d98_1112_P7
750,0.0134,-0.0861,_d98_1121
751,0.0229,-0.0345,_d98_1121_P5
752,1.92E-04,-0.0268,_d98_1121_P7
753,0.0012,-0.0427,_d98_1122
754,0.0228,-0.0336,_d98_1122_P5
755,1.94E-04,-0.0272,_d98_1122_P7
756,0.0012,-0.0427,_d98_2111
757,0.0748,-0.0706,_d98_2111_P5
758,0.0045,-0.0479,_d98_2111_P7
759,0.018,-0.0738,_d98_2112
760,0.075,-0.0706,_d98_2112_P5
761,0.0045,-0.0479,_d98_2112_P7
762,0.018,-0.0738,_d98_2121
763,0.0255,-0.0318,_d98_2121_P5
764,2.88E-04,-0.0218,_d98_2121_P7
765,0.0015,-0.0351,_d98_2122
766,0.0255,-0.0317,_d98_2122_P5
767,2.88E-04,-0.0218,_d98_2122_P7
768,0.0015,-0.0351,_dn67_1111
769,0.0702,-0.0817,_dn67_1111_P5\
770,0.0033,-0.0628,_dn67_1111_P7\
771,0.0162,-0.099,_dn67_1112
772,0.0707,-0.0815,_dn67_1112_P5\
773,0.0033,-0.0628,_dn67_1112_P7\
774,0.0162,-0.0989,_dn67_1121
775,0.0171,-0.0259,_dn67_1121_P5\
776,1.67E-04,-4.7037,_dn67_1121_P7\
777,7.89E-04,-0.0309,_dn67_1122
778,0.0173,-0.0254,_dn67_1122_P5\
779,1.67E-04,-4.7027,_dn67_1122_P7\
780,7.89E-04,-0.0309,_dn67_2111
781,0.0934,-0.0834,_dn67_2111_P5\
782,0.0055,-0.0593,_dn67_2111_P7\
783,0.0227,-0.0866,_dn67_2112
784,0.0936,-0.0835,_dn67_2112_P5\
785,0.0055,-0.0593,_dn67_2112_P7\
786,0.0227,-0.0866,_dn67_2121
787,0.0169,-0.0205,_dn67_2121_P5\
788,2.21E-04,-4.973,_dn67_2121_P7\
789,0.001,-0.0238,_dn67_2122
790,0.017,-0.0205,_dn67_2122_P5\
791,2.21E-04,-4.973,_dn67_2122_P7\
792,0.001,-0.0238,_dn68_1111
793,0.0866,-0.0978,_dn68_1111_P5\
794,0.0034,-0.0701,_dn68_1111_P7\
795,0.0183,-0.1126,_dn68_1112
796,0.0875,-0.0978,_dn68_1112_P5\
797,0.0034,-0.0701,_dn68_1112_P7\
798,0.0183,-0.1126,_dn68_1121
799,0.0238,-0.0346,_dn68_1121_P5\
800,2.47E-04,-4.7198,_dn68_1121_P7\
801,0.0011,-0.0385,_dn68_1122
802,0.024,-0.034,_dn68_1122_P5\
803,2.47E-04,-4.719,_dn68_1122_P7\
804,0.0011,-0.0385,_dn68_2111
805,0.1104,-0.1018,_dn68_2111_P5\
806,0.0058,-0.069,_dn68_2111_P7\
807,0.0265,-0.1042,_dn68_2112
808,0.1116,-0.1028,_dn68_2112_P5\
809,0.0058,-0.069,_dn68_2112_P7\
810,0.0265,-0.1042,_dn68_2121
811,0.0194,-0.024,_dn68_2121_P5\
812,3.14E-04,-4.9946,_dn68_2121_P7\
813,0.0012,-0.0271,_dn68_2122
814,0.0196,-0.0242,_dn68_2122_P5\
815,3.14E-04,-4.9947,_dn68_2122_P7\
816,0.0012,-0.0271,_dn69_1111
817,0.0664,-0.0745,_dn69_1111_P5\
818,0.0028,-0.0539,_dn69_1111_P7\
819,0.0146,-0.0905,_dn69_1112
820,0.0671,-0.0746,_dn69_1112_P5\
821,0.0028,-0.0539,_dn69_1112_P7\
822,0.0146,-0.0905,_dn69_1121
823,0.0265,-0.0383,_dn69_1121_P5\
824,2.34E-04,-4.9893,_dn69_1121_P7\
825,0.0013,-0.0433,_dn69_1122
826,0.0268,-0.0384,_dn69_1122_P5\
827,2.35E-04,-4.9893,_dn69_1122_P7\
828,0.0013,-0.0433,_dn69_2111
829,0.0853,-0.0782,_dn69_2111_P5\
830,0.0046,-0.0501,_dn69_2111_P7\
831,0.0207,-0.0816,_dn69_2112
832,0.0853,-0.0782,_dn69_2112_P5\
833,0.0046,-0.0501,_dn69_2112_P7\
834,0.0207,-0.0816,_dn69_2121
835,0.0264,-0.0327,_dn69_2121_P5\
836,3.54E-04,-4.9964,_dn69_2121_P7\
837,0.0016,-0.0359,_dn69_2122
838,0.0265,-0.0326,_dn69_2122_P5\
839,3.54E-04,-4.9964,_dn69_2122_P7\
840,0.0016,-0.0359,_dn70_1111
841,0.0922,-0.1,_dn70_1111_P5\
842,0.0041,-0.0768,_dn70_1111_P7\
843,0.0187,-0.1102,_dn70_1112
844,0.0923,-0.0995,_dn70_1112_P5\
845,0.0041,-0.0768,_dn70_1112_P7\
846,0.0187,-0.1102,_dn70_1121
847,0.038,-0.0541,_dn70_1121_P5\
848,3.36E-04,-0.0524,_dn70_1121_P7\
849,0.0018,-0.061,_dn70_1122
850,0.0379,-0.0535,_dn70_1122_P5\
851,3.36E-04,-0.0524,_dn70_1122_P7\
852,0.0018,-0.061,_dn70_2111
853,0.1035,-0.0935,_dn70_2111_P5\
854,0.006,-0.0657,_dn70_2111_P7\
855,0.0245,-0.0945,_dn70_2112
856,0.1036,-0.0935,_dn70_2112_P5\
857,0.006,-0.0657,_dn70_2112_P7\
858,0.0245,-0.0945,_dn70_2121
859,0.0338,-0.0433,_dn70_2121_P5\
860,3.39E-04,-0.0313,_dn70_2121_P7\
861,0.002,-0.0468,_dn70_2122
862,0.0338,-0.0433,_dn70_2122_P5\
863,3.39E-04,-0.0313,_dn70_2122_P7\
864,0.002,-0.0468,_dn71_1111
865,0.0512,-0.0636,_dn71_1111_P5\
866,0.0021,-0.0463,_dn71_1111_P7\
867,0.0107,-0.0775,_dn71_1112
868,0.0513,-0.0634,_dn71_1112_P5\
869,0.0021,-0.0463,_dn71_1112_P7\
870,0.0107,-0.0775,_dn71_1121
871,0.0248,-0.0393,_dn71_1121_P5\
872,2.39E-04,-0.037,_dn71_1121_P7\
873,0.0013,-0.0489,_dn71_1122
874,0.0248,-0.039,_dn71_1122_P5\
875,2.39E-04,-0.037,_dn71_1122_P7\
876,0.0013,-0.0489,_dn71_2111
877,0.0553,-0.0584,_dn71_2111_P5\
878,0.0027,-0.034,_dn71_2111_P7\
879,0.0132,-0.0616,_dn71_2112
880,0.0553,-0.0583,_dn71_2112_P5\
881,0.0027,-0.034,_dn71_2112_P7\
882,0.0132,-0.0616,_dn71_2121
883,0.0269,-0.0367,_dn71_2121_P5\
884,5.17E-04,-4.9591,_dn71_2121_P7\
885,0.0016,-0.0412,_dn71_2122
886,0.027,-0.0367,_dn71_2122_P5\
887,5.17E-04,-4.9589,_dn71_2122_P7\
888,0.0016,-0.0412,_dn72_1111
889,0.0627,-0.0737,_dn72_1111_P5\
890,0.0025,-0.053,_dn72_1111_P7\
891,0.0142,-0.092,_dn72_1112
892,0.0633,-0.0732,_dn72_1112_P5\
893,0.0025,-0.053,_dn72_1112_P7\
894,0.0142,-0.092,_dn72_1121
895,0.0274,-0.0421,_dn72_1121_P5\
896,2.50E-04,-4.9791,_dn72_1121_P7\
897,0.0015,-0.0535,_dn72_1122
898,0.0275,-0.0413,_dn72_1122_P5\
899,2.50E-04,-4.9792,_dn72_1122_P7\
900,0.0014,-0.053,_dn72_2111
901,0.0853,-0.0781,_dn72_2111_P5\
902,0.0046,-0.0525,_dn72_2111_P7\
903,0.0206,-0.0818,_dn72_2112
904,0.0855,-0.0781,_dn72_2112_P5\
905,0.0046,-0.0525,_dn72_2112_P7\
906,0.0206,-0.0818,_dn72_2121
907,0.0323,-0.0404,_dn72_2121_P5\
908,4.55E-04,-4.9905,_dn72_2121_P7\
909,0.0029,-4.9997,_dn72_2122
910,0.0324,-0.0402,_dn72_2122_P5\
911,4.55E-04,-4.9906,_dn72_2122_P7\
912,0.0029,-4.9997,_dn73_1111
913,0.0856,-0.101,_dn73_1111_P5\
914,0.004,-0.0803,_dn73_1111_P7\
915,0.0168,-0.1114,_dn73_1112
916,0.0857,-0.1007,_dn73_1112_P5\
917,0.004,-0.0803,_dn73_1112_P7\
918,0.0168,-0.1113,_dn73_1121
919,0.0309,-0.0499,_dn73_1121_P5\
920,4.81E-04,-4.9781,_dn73_1121_P7\
921,0.0016,-0.0593,_dn73_1122
922,0.0309,-0.0493,_dn73_1122_P5\
923,4.81E-04,-4.978,_dn73_1122_P7\
924,0.0016,-0.0592,_dn73_2111
925,0.0974,-0.095,_dn73_2111_P5\
926,0.006,-0.0685,_dn73_2111_P7\
927,0.0228,-0.0964,_dn73_2112
928,0.0973,-0.095,_dn73_2112_P5\
929,0.006,-0.0685,_dn73_2112_P7\
930,0.0228,-0.0964,_dn73_2121
931,0.0289,-0.039,_dn73_2121_P5\
932,3.24E-04,-0.0278,_dn73_2121_P7\
933,0.0017,-0.0429,_dn73_2122
934,0.0289,-0.0389,_dn73_2122_P5\
935,3.24E-04,-0.0278,_dn73_2122_P7\
936,0.0017,-0.0429,_dn74_1111
937,0.0605,-0.0837,_dn74_1111_P5\
938,0.0021,-0.0521,_dn74_1111_P7\
939,0.0145,-0.1075,_dn74_1112
940,0.0608,-0.0831,_dn74_1112_P5\
941,0.0021,-0.052,_dn74_1112_P7\
942,0.0145,-0.1074,_dn74_1121
943,0.0135,-0.0232,_dn74_1121_P5\
944,1.62E-04,-4.9991,_dn74_1121_P7\
945,0.0015,-4.8711,_dn74_1122
946,0.0135,-0.0219,_dn74_1122_P5\
947,1.62E-04,-4.9991,_dn74_1122_P7\
948,0.0015,-4.8737,_dn74_2111
949,0.0848,-0.0868,_dn74_2111_P5\
950,0.004,-0.0521,_dn74_2111_P7\
951,0.021,-0.0921,_dn74_2112
952,0.0853,-0.0873,_dn74_2112_P5\
953,0.004,-0.0521,_dn74_2112_P7\
954,0.021,-0.0921,_dn74_2121
955,0.0169,-0.0223,_dn74_2121_P5\
956,2.71E-04,-4.9991,_dn74_2121_P7\
957,0.0022,-4.8222,_dn74_2122
958,0.0171,-0.0226,_dn74_2122_P5\
959,2.71E-04,-4.9991,_dn74_2122_P7\
960,0.0022,-4.8216,_dn75_1111
961,0.0792,-0.0843,_dn75_1111_P5\
962,0.0039,-0.0692,_dn75_1111_P7\
963,0.0169,-0.0976,_dn75_1112
964,0.0796,-0.0839,_dn75_1112_P5\
965,0.0039,-0.0692,_dn75_1112_P7\
966,0.017,-0.0976,_dn75_1121
967,0.0291,-0.041,_dn75_1121_P5\
968,3.72E-04,-4.9834,_dn75_1121_P7\
969,0.0014,-0.0479,_dn75_1122
970,0.029,-0.0402,_dn75_1122_P5\
971,3.72E-04,-4.9834,_dn75_1122_P7\
972,0.0014,-0.0479,_dn75_2111
973,0.104,-0.0916,_dn75_2111_P5\
974,0.0062,-0.0664,_dn75_2111_P7\
975,0.0245,-0.0925,_dn75_2112
976,0.104,-0.0916,_dn75_2112_P5\
977,0.0062,-0.0664,_dn75_2112_P7\
978,0.0245,-0.0925,_dn75_2121
979,0.0317,-0.0382,_dn75_2121_P5\
980,3.71E-04,-0.0304,_dn75_2121_P7\
981,0.0019,-0.0413,_dn75_2122
982,0.0317,-0.0381,_dn75_2122_P5\
983,3.71E-04,-0.0304,_dn75_2122_P7\
984,0.0019,-0.0413,_dn76_1111
985,0.0303,-0.042,_dn76_1111_P5\
986,0.0013,-4.9797,_dn76_1111_P7\
987,0.0074,-0.0587,_dn76_1112
988,0.03,-0.0407,_dn76_1112_P5\
989,0.0013,-4.9818,_dn76_1112_P7\
990,0.0074,-0.0587,_dn76_1121
991,0.0116,-0.0197,_dn76_1121_P5\
992,1.79E-04,-4.9987,_dn76_1121_P7\
993,0.0015,-4.9121,_dn76_1122
994,0.0113,-0.0182,_dn76_1122_P5\
995,1.79E-04,-4.9989,_dn76_1122_P7\
996,0.0015,-4.915,_dn76_2111
997,0.0386,-0.0409,_dn76_2111_P5\
998,0.0018,-4.9987,_dn76_2111_P7\
999,0.0097,-0.0454,_dn76_2112
1000,0.0385,-0.0408,_dn76_2112_P5\
1001,0.0018,-5.0013,_dn76_2112_P7\
1002,0.0097,-0.0454,_dn76_2121
1003,0.0132,-0.0173,_dn76_2121_P5\
1004,2.50E-04,-4.9989,_dn76_2121_P7\
1005,8.69E-04,-0.0228,_dn76_2122
1006,0.0132,-0.0171,_dn76_2122_P5\
1007,2.50E-04,-4.9991,_dn76_2122_P7\
1008,8.69E-04,-0.0228,_dn77_1111
1009,0.0691,-0.0748,_dn77_1111_P5\
1010,0.0032,-0.0593,_dn77_1111_P7\
1011,0.0148,-0.0904,_dn77_1112
1012,0.0697,-0.0744,_dn77_1112_P5\
1013,0.0032,-0.0593,_dn77_1112_P7\
1014,0.0148,-0.0903,_dn77_1121
1015,0.029,-0.0404,_dn77_1121_P5\
1016,2.31E-04,-0.0288,_dn77_1121_P7\
1017,0.0014,-0.0468,_dn77_1122
1018,0.0289,-0.0391,_dn77_1122_P5\
1019,2.31E-04,-0.0288,_dn77_1122_P7\
1020,0.0014,-0.0467,_dn77_2111
1021,0.0883,-0.0777,_dn77_2111_P5\
1022,0.0053,-0.0552,_dn77_2111_P7\
1023,0.021,-0.0805,_dn77_2112
1024,0.0883,-0.0776,_dn77_2112_P5\
1025,0.0053,-0.0552,_dn77_2112_P7\
1026,0.021,-0.0805,_dn77_2121
1027,0.0337,-0.0394,_dn77_2121_P5\
1028,5.55E-04,-4.994,_dn77_2121_P7\
1029,0.002,-0.0417,_dn77_2122
1030,0.0336,-0.039,_dn77_2122_P5\
1031,5.55E-04,-4.994,_dn77_2122_P7\
1032,0.002,-0.0417,_dn78_1111
1033,0.0589,-0.0732,_dn78_1111_P5\
1034,0.0037,-0.0706,_dn78_1111_P7\
1035,0.0125,-0.0843,_dn78_1112
1036,0.0596,-0.0729,_dn78_1112_P5\
1037,0.0037,-0.0706,_dn78_1112_P7\
1038,0.0125,-0.0843,_dn78_1121
1039,0.0255,-0.0382,_dn78_1121_P5\
1040,3.97E-04,-4.9566,_dn78_1121_P7\
1041,0.0013,-0.0475,_dn78_1122
1042,0.0254,-0.0374,_dn78_1122_P5\
1043,3.97E-04,-4.9565,_dn78_1122_P7\
1044,0.0013,-0.0475,_dn78_2111
1045,0.0662,-0.0663,_dn78_2111_P5\
1046,0.0047,-0.0542,_dn78_2111_P7\
1047,0.0161,-0.0691,_dn78_2112
1048,0.0663,-0.0662,_dn78_2112_P5\
1049,0.0047,-0.0542,_dn78_2112_P7\
1050,0.0161,-0.0691,_dn78_2121
1051,0.0263,-0.0342,_dn78_2121_P5\
1052,5.47E-04,-4.9408,_dn78_2121_P7\
1053,0.0016,-0.0387,_dn78_2122
1054,0.0263,-0.0341,_dn78_2122_P5\
1055,5.47E-04,-4.9407,_dn78_2122_P7\
1056,0.0016,-0.0387,_dn79_1111
1057,0.0738,-0.0792,_dn79_1111_P5\
1058,0.0029,-0.0562,_dn79_1111_P7\
1059,0.0158,-0.0961,_dn79_1112
1060,0.0738,-0.0789,_dn79_1112_P5\
1061,0.0029,-0.0562,_dn79_1112_P7\
1062,0.0158,-0.0961,_dn79_1121
1063,0.0256,-0.0373,_dn79_1121_P5\
1064,2.74E-04,-4.9754,_dn79_1121_P7\
1065,0.0013,-0.0433,_dn79_1122
1066,0.0258,-0.037,_dn79_1122_P5\
1067,2.74E-04,-4.9754,_dn79_1122_P7\
1068,0.0013,-0.0433,_dn79_2111
1069,0.0958,-0.0836,_dn79_2111_P5\
1070,0.0049,-0.0546,_dn79_2111_P7\
1071,0.0226,-0.0866,_dn79_2112
1072,0.0958,-0.0836,_dn79_2112_P5\
1073,0.0049,-0.0546,_dn79_2112_P7\
1074,0.0226,-0.0866,_dn79_2121
1075,0.0298,-0.0356,_dn79_2121_P5\
1076,4.85E-04,-4.9686,_dn79_2121_P7\
1077,0.0017,-0.0368,_dn79_2122
1078,0.0298,-0.0355,_dn79_2122_P5\
1079,4.85E-04,-4.9685,_dn79_2122_P7\
1080,0.0017,-0.0368,_dn80_1111
1081,0.0768,-0.0818,_dn80_1111_P5\
1082,0.0036,-0.0649,_dn80_1111_P7\
1083,0.0164,-0.0943,_dn80_1112
1084,0.0773,-0.0814,_dn80_1112_P5\
1085,0.0036,-0.0649,_dn80_1112_P7\
1086,0.0164,-0.0943,_dn80_1121
1087,0.0218,-0.0314,_dn80_1121_P5\
1088,2.28E-04,-4.8497,_dn80_1121_P7\
1089,0.0012,-0.0405,_dn80_1122
1090,0.0216,-0.0303,_dn80_1122_P5\
1091,2.28E-04,-4.8501,_dn80_1122_P7\
1092,0.0012,-0.0405,_dn80_2111
1093,0.0948,-0.0837,_dn80_2111_P5\
1094,0.0053,-0.0596,_dn80_2111_P7\
1095,0.022,-0.0848,_dn80_2112
1096,0.095,-0.0837,_dn80_2112_P5\
1097,0.0053,-0.0596,_dn80_2112_P7\
1098,0.022,-0.0848,_dn80_2121
1099,0.0277,-0.0332,_dn80_2121_P5\
1100,2.80E-04,-0.0237,_dn80_2121_P7\
1101,0.0017,-0.0365,_dn80_2122
1102,0.0277,-0.033,_dn80_2122_P5\
1103,2.80E-04,-0.0236,_dn80_2122_P7\
1104,0.0017,-0.0365,_dn81_1111
1105,0.05,-0.0614,_dn81_1111_P5\
1106,0.002,-0.0419,_dn81_1111_P7\
1107,0.0112,-0.0789,_dn81_1112
1108,0.0504,-0.0612,_dn81_1112_P5\
1109,0.002,-0.0419,_dn81_1112_P7\
1110,0.0112,-0.0789,_dn81_1121
1111,0.0228,-0.0344,_dn81_1121_P5\
1112,2.86E-04,-4.7525,_dn81_1121_P7\
1113,0.0011,-0.0412,_dn81_1122
1114,0.023,-0.034,_dn81_1122_P5\
1115,2.86E-04,-4.7524,_dn81_1122_P7\
1116,0.0011,-0.0412,_dn81_2111
1117,0.0574,-0.0566,_dn81_2111_P5\
1118,0.003,-0.0357,_dn81_2111_P7\
1119,0.0139,-0.0602,_dn81_2112
1120,0.0575,-0.0566,_dn81_2112_P5\
1121,0.003,-0.0357,_dn81_2112_P7\
1122,0.0139,-0.0602,_dn81_2121
1123,0.0235,-0.0284,_dn81_2121_P5\
1124,3.79E-04,-4.9924,_dn81_2121_P7\
1125,0.0014,-0.0316,_dn81_2122
1126,0.0235,-0.0283,_dn81_2122_P5\
1127,3.79E-04,-4.9926,_dn81_2122_P7\
1128,0.0014,-0.0316,_dn82_1111
1129,0.0741,-0.0783,_dn82_1111_P5\
1130,0.0032,-0.059,_dn82_1111_P7\
1131,0.0155,-0.0936,_dn82_1112
1132,0.0745,-0.0781,_dn82_1112_P5\
1133,0.0032,-0.059,_dn82_1112_P7\
1134,0.0155,-0.0936,_dn82_1121
1135,0.0303,-0.0406,_dn82_1121_P5\
1136,2.29E-04,-0.0344,_dn82_1121_P7\
1137,0.0014,-0.0455,_dn82_1122
1138,0.0304,-0.0398,_dn82_1122_P5\
1139,2.29E-04,-0.0344,_dn82_1122_P7\
1140,0.0014,-0.0455,_dn82_2111
1141,0.0853,-0.0756,_dn82_2111_P5\
1142,0.0045,-0.0499,_dn82_2111_P7\
1143,0.02,-0.078,_dn82_2112
1144,0.0853,-0.0755,_dn82_2112_P5\
1145,0.0045,-0.0499,_dn82_2112_P7\
1146,0.02,-0.078,_dn82_2121
1147,0.032,-0.036,_dn82_2121_P5\
1148,3.56E-04,-0.0291,_dn82_2121_P7\
1149,0.0019,-0.0389,_dn82_2122
1150,0.032,-0.0358,_dn82_2122_P5\
1151,3.56E-04,-0.0291,_dn82_2122_P7\
1152,0.0019,-0.0389,_dn83_1111
1153,0.0364,-0.0539,_dn83_1111_P5\
1154,0.0012,-0.0297,_dn83_1111_P7\
1155,0.0091,-0.0732,_dn83_1112
1156,0.0368,-0.0527,_dn83_1112_P5\
1157,0.0012,-0.0299,_dn83_1112_P7\
1158,0.0091,-0.0732,_dn83_1121
1159,0.0119,-0.0222,_dn83_1121_P5\
1160,1.45E-04,-5.0008,_dn83_1121_P7\
1161,0.0012,-4.9935,_dn83_1122
1162,0.012,-0.0206,_dn83_1122_P5\
1163,1.42E-04,-4.9994,_dn83_1122_P7\
1164,0.0012,-4.9936,_dn83_2111
1165,0.0501,-0.0574,_dn83_2111_P5\
1166,0.0022,-0.0309,_dn83_2111_P7\
1167,0.0123,-0.0603,_dn83_2112
1168,0.0506,-0.0579,_dn83_2112_P5\
1169,0.0022,-0.0308,_dn83_2112_P7\
1170,0.0123,-0.0603,_dn83_2121
1171,0.0106,-0.0145,_dn83_2121_P5\
1172,1.99E-04,-4.999,_dn83_2121_P7\
1173,6.78E-04,-0.0185,_dn83_2122
1174,0.0105,-0.0141,_dn83_2122_P5\
1175,1.99E-04,-4.9989,_dn83_2122_P7\
1176,6.78E-04,-0.0185,_dn84_1111
1177,0.0378,-0.0455,_dn84_1111_P5\
1178,0.0021,-0.0435,_dn84_1111_P7\
1179,0.0075,-0.0543,_dn84_1112
1180,0.0376,-0.0445,_dn84_1112_P5\
1181,0.0021,-0.0435,_dn84_1112_P7\
1182,0.0075,-0.0543,_dn84_1121
1183,0.0229,-0.0332,_dn84_1121_P5\
1184,2.27E-04,-0.0344,_dn84_1121_P7\
1185,0.001,-0.0378,_dn84_1122
1186,0.0226,-0.0319,_dn84_1122_P5\
1187,2.27E-04,-0.0343,_dn84_1122_P7\
1188,0.001,-0.0377,_dn84_2111
1189,0.0399,-0.0406,_dn84_2111_P5\
1190,0.0027,-0.0325,_dn84_2111_P7\
1191,0.0094,-0.0434,_dn84_2112
1192,0.0398,-0.0406,_dn84_2112_P5\
1193,0.0027,-0.0325,_dn84_2112_P7\
1194,0.0094,-0.0434,_dn84_2121
1195,0.0227,-0.0285,_dn84_2121_P5\
1196,3.10E-04,-0.0263,_dn84_2121_P7\
1197,0.0013,-0.0297,_dn84_2122
1198,0.0226,-0.0283,_dn84_2122_P5\
1199,3.09E-04,-0.0262,_dn84_2122_P7\
1200,0.0013,-0.0297,_dn85_1111
